cost_function,value,name,level,method,dataset_id,schema_path,agent,train_episodes,max_train_steps
ramping_average,0.9862158079476696,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
zero_net_energy,1.00734238491949,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
electricity_consumption_total,0.9743957319094927,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
zero_net_energy,1.0219300117882952,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
carbon_emissions_total,0.9705409960096483,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
cost_total,0.9616899486270956,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_proportion,,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_proportion,,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_proportion,,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_minimum,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_maximum,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_average,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_minimum,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_maximum,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_average,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
one_minus_thermal_resilience_proportion,,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
power_outage_normalized_unserved_energy_total,,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
annual_normalized_unserved_energy_total,0.0,Building_1,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
electricity_consumption_total,0.9938397620419489,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
zero_net_energy,1.0139114442754558,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
carbon_emissions_total,0.996820755624457,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
cost_total,0.994337608959308,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_proportion,,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_proportion,,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_proportion,,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_minimum,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_maximum,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_average,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_minimum,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_maximum,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_average,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
one_minus_thermal_resilience_proportion,,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
power_outage_normalized_unserved_energy_total,,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
annual_normalized_unserved_energy_total,0.0,Building_2,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
electricity_consumption_total,1.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
zero_net_energy,1.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
carbon_emissions_total,1.0000000004561749,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
cost_total,1.0000000006507948,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_proportion,,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_proportion,,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_proportion,,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_minimum,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_maximum,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_average,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_minimum,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_maximum,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_average,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
one_minus_thermal_resilience_proportion,,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
power_outage_normalized_unserved_energy_total,,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
annual_normalized_unserved_energy_total,0.0,Building_3,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
electricity_consumption_total,1.0009944983763195,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
zero_net_energy,1.0008350629611449,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
carbon_emissions_total,1.001183592855359,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
cost_total,1.0012613795623124,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_proportion,,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_proportion,,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_proportion,,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_minimum,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_maximum,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_average,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_minimum,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_maximum,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_average,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
one_minus_thermal_resilience_proportion,,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
power_outage_normalized_unserved_energy_total,,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
annual_normalized_unserved_energy_total,0.0,Building_4,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
electricity_consumption_total,1.0000195629482782,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
zero_net_energy,1.0000354055725547,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
carbon_emissions_total,1.0000224564485698,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
cost_total,1.0000339052531715,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_proportion,,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_proportion,,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_proportion,,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_minimum,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_maximum,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_average,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_minimum,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_maximum,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_average,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
one_minus_thermal_resilience_proportion,,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
power_outage_normalized_unserved_energy_total,,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
annual_normalized_unserved_energy_total,0.0,Building_5,building,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
