cost_function,value,name,level,method,dataset_id,schema_path,horizon,beam_width,exact
discomfort_hot_delta_minimum,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_maximum,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_average,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
one_minus_thermal_resilience_proportion,,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
power_outage_normalized_unserved_energy_total,,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
annual_normalized_unserved_energy_total,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
electricity_consumption_total,1.0660894885495082,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
zero_net_energy,1.0596299279477444,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
carbon_emissions_total,1.0353123360924708,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
cost_total,0.944337805122618,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_proportion,,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_proportion,,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_proportion,,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_minimum,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_maximum,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_average,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_minimum,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_maximum,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_average,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
one_minus_thermal_resilience_proportion,,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
power_outage_normalized_unserved_energy_total,,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
annual_normalized_unserved_energy_total,0.0,Building_2,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
electricity_consumption_total,1.1247266801280404,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
zero_net_energy,1.1763480349519473,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
carbon_emissions_total,1.0830404088649945,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
cost_total,0.9658070362087692,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_proportion,,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_proportion,,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_proportion,,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_minimum,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_maximum,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_average,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_minimum,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_maximum,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_average,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
one_minus_thermal_resilience_proportion,,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
power_outage_normalized_unserved_energy_total,,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
annual_normalized_unserved_energy_total,0.0,Building_3,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
electricity_consumption_total,1.0864419227336362,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
zero_net_energy,1.0443071272311868,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
carbon_emissions_total,1.0584693823922764,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
cost_total,0.9709194057506099,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_proportion,,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_proportion,,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_proportion,,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_minimum,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_maximum,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_average,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_minimum,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_maximum,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_average,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
one_minus_thermal_resilience_proportion,,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
power_outage_normalized_unserved_energy_total,,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
annual_normalized_unserved_energy_total,0.0,Building_4,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
electricity_consumption_total,1.1027587296219132,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
zero_net_energy,1.0791925126511583,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
carbon_emissions_total,1.0615519880387607,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
cost_total,0.9569674886262591,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_proportion,,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_proportion,,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_proportion,,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_minimum,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_maximum,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_average,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_minimum,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_maximum,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_average,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
one_minus_thermal_resilience_proportion,,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
power_outage_normalized_unserved_energy_total,,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
annual_normalized_unserved_energy_total,0.0,Building_5,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
