cost_function,value,name,level,method,dataset_id,schema_path,controller
carbon_emissions_total,1.0812879118705028,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
cost_total,1.0504111387875295,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_proportion,,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_proportion,,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_proportion,,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_minimum,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_maximum,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_average,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_minimum,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_maximum,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_average,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
one_minus_thermal_resilience_proportion,,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
power_outage_normalized_unserved_energy_total,,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
annual_normalized_unserved_energy_total,0.0,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
electricity_consumption_total,1.0627697024153053,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
zero_net_energy,1.0298337254900203,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
carbon_emissions_total,1.04052567763346,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
cost_total,1.0203737531364054,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_proportion,,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_proportion,,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_proportion,,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_minimum,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_maximum,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_average,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_minimum,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_maximum,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_average,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
one_minus_thermal_resilience_proportion,,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
power_outage_normalized_unserved_energy_total,,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
annual_normalized_unserved_energy_total,0.0,Building_4,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
electricity_consumption_total,1.091557287957056,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
zero_net_energy,1.0529575991033124,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
carbon_emissions_total,1.0617936275614976,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
cost_total,1.0275313487434998,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_proportion,,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_proportion,,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_proportion,,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_minimum,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_maximum,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_average,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_minimum,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_maximum,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_average,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
one_minus_thermal_resilience_proportion,,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
power_outage_normalized_unserved_energy_total,,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
annual_normalized_unserved_energy_total,0.0,Building_5,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
