cost_function,value,name,level,method,dynamic_schedule,semantic_param_path,scenario_name
discomfort_cold_delta_minimum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,Building_1,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0539734846283157,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0537719438313593,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0213727666243975,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9474301166214586,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,Building_2,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.101206531732698,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.1590131792968688,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0563350388823811,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9617141339455073,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,Building_3,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0750506218057314,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0399704778235057,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0449015512181044,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9733932801936529,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,Building_4,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0841380583082663,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0714316606683718,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0408015805649746,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9566725658049744,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,Building_5,building,llm_cc_mcts_dynamic_no_peak_penalty,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
